City,Date,Wastewater Treatment Emissions ,Water Use Emissions ,Water Use,Location 1
Belmont,12/31/2011 12:00:00 AM,548,277,1062494560,"Belmont, CA
(37.508536, -122.291951)"
Brisbane,12/31/2013 12:00:00 AM,122,65,229569651,"Brisbane, CA
(37.682669, -122.400522)"
Portola Valley,12/31/2012 12:00:00 AM,103,103,349918907,"Portola Valley, CA
(37.375423, -122.219507)"
East Palo Alto,12/31/2012 12:00:00 AM,664,239,812441199,"East Palo Alto, CA
(37.464162, -122.139284)"
Colma,12/31/2011 12:00:00 AM,34,22,85762729,"Colma, CA
(37.68073, -122.452872)"
Portola Valley,12/31/2011 12:00:00 AM,101,88,338328319,"Portola Valley, CA
(37.375423, -122.219507)"
South San Francisco,12/31/2010 12:00:00 AM,783,885,2303752269,"South San Francisco, CA
(37.65568, -122.412482)"
Daly City,12/31/2012 12:00:00 AM,2446,980,3331848366,"Daly City, CA
(37.691113, -122.472221)"
Atherton,12/31/2010 12:00:00 AM,170,199,516919127,"Atherton, CA
(37.461318, -122.19843)"
Atherton,12/31/2011 12:00:00 AM,161,140,537376980,"Atherton, CA
(37.461318, -122.19843)"
Foster City,12/31/2013 12:00:00 AM,336,362,1274775281,"Foster City, CA
(37.561881, -122.266445)"
Belmont,12/31/2005 12:00:00 AM,,,,"Belmont, CA
(37.508536, -122.291951)"
South San Francisco,12/31/2012 12:00:00 AM,1043,683,2323350999,"South San Francisco, CA
(37.65568, -122.412482)"
Colma,12/31/2012 12:00:00 AM,36,25,85029400,"Colma, CA
(37.68073, -122.452872)"
Burlingame,12/31/2005 12:00:00 AM,,,,"Burlingame, CA
(37.584195, -122.366265)"
Colma,12/31/2005 12:00:00 AM,,,,"Colma, CA
(37.68073, -122.452872)"
Half Moon Bay,12/31/2012 12:00:00 AM,270,143,484935529,"Half Moon Bay, CA
(37.463638, -122.429242)"
Daly City,12/31/2011 12:00:00 AM,2411,844,3238867783,"Daly City, CA
(37.691113, -122.472221)"
Menlo Park,12/31/2013 12:00:00 AM,770,764,2688313169,"Menlo Park, CA
(37.453629, -122.18296)"
Brisbane,12/31/2012 12:00:00 AM,103,64,218382965,"Brisbane, CA
(37.682669, -122.400522)"
Brisbane,12/31/2005 12:00:00 AM,,,,"Brisbane, CA
(37.682669, -122.400522)"
San Carlos,12/31/2011 12:00:00 AM,661,300,1151995531,"San Carlos, CA
(37.503733, -122.264927)"
Hillsborough,12/31/2005 12:00:00 AM,,,,"Hillsborough, CA
(37.565155, -122.363487)"
Portola Valley,12/31/2005 12:00:00 AM,,,,"Portola Valley, CA
(37.375423, -122.219507)"
Belmont,12/31/2013 12:00:00 AM,566,311,1094726864,"Belmont, CA
(37.508536, -122.291951)"
Foster City,12/31/2005 12:00:00 AM,,,,"Foster City, CA
(37.561881, -122.266445)"
Redwood City,12/31/2005 12:00:00 AM,,,,"Redwood City, CA
(37.484778, -122.22815)"
Portola Valley,12/31/2013 12:00:00 AM,105,102,359905815,"Portola Valley, CA
(37.375423, -122.219507)"
Menlo Park,12/31/2005 12:00:00 AM,,,,"Menlo Park, CA
(37.453629, -122.18296)"
Atherton,12/31/2005 12:00:00 AM,,,,"Atherton, CA
(37.461318, -122.19843)"
South San Francisco,12/31/2011 12:00:00 AM,909,597,2293679744,"South San Francisco, CA
(37.65568, -122.412482)"
San Carlos,12/31/2013 12:00:00 AM,683,331,1163697121,"San Carlos, CA
(37.503733, -122.264927)"
Menlo Park,12/31/2012 12:00:00 AM,755,788,2677772735,"Menlo Park, CA
(37.453629, -122.18296)"
San Carlos,12/31/2005 12:00:00 AM,,,,"San Carlos, CA
(37.503733, -122.264927)"
Half Moon Bay,12/31/2013 12:00:00 AM,274,149,523452040,"Half Moon Bay, CA
(37.463638, -122.429242)"
San Carlos,12/31/2015 12:00:00 AM,700,257,956702068,"San Carlos, CA
(37.503733, -122.264927)"
Foster City,12/31/2014 12:00:00 AM,621,364,1262235812,"Foster City, CA
(37.561881, -122.266445)"
San Mateo,12/31/2015 12:00:00 AM,2261,959,3568817657,"San Mateo
(37.547166, -122.314351)"
San Bruno,12/31/2015 12:00:00 AM,499,304,1132221817,"San Bruno, CA
(37.627277, -122.416148)"
Brisbane,12/31/2014 12:00:00 AM,112,66,230124498,"Brisbane, CA
(37.682669, -122.400522)"
Woodside,12/31/2012 12:00:00 AM,125,245,833318916,"Woodside
(37.431774, -122.255819)"
Woodside,12/31/2015 12:00:00 AM,130,232,863162134,"Woodside
(37.431774, -122.255819)"
San Mateo,12/31/2005 12:00:00 AM,,,,"San Mateo
(37.547166, -122.314351)"
Colma,12/31/2015 12:00:00 AM,34,19,72446412,"Colma, CA
(37.68073, -122.452872)"
Unincorporated San Mateo County ,12/31/2013 12:00:00 AM,1746,746,2625440858,"Unincorporated San Mateo County
(37.588887, -122.027693)"
Foster City,12/31/2015 12:00:00 AM,711,326,1213022356,"Foster City, CA
(37.561881, -122.266445)"
Burlingame,12/31/2014 12:00:00 AM,854,393,1364166596,"Burlingame, CA
(37.584195, -122.366265)"
Pacifica,12/31/2015 12:00:00 AM,836,225,835853609,"Pacifica
(37.613823, -122.48704)"
Millbrae,12/31/2015 12:00:00 AM,1550,196,730674976,"Millbrae, CA
(37.603633, -122.397199)"
Hillsborough,12/31/2015 12:00:00 AM,286,243,903609928,"Hillsborough, CA
(37.565155, -122.363487)"
Woodside,12/31/2010 12:00:00 AM,130,311,810497100,"Woodside
(37.431774, -122.255819)"
South San Francisco,12/31/2015 12:00:00 AM,773,537,1998996562,"South San Francisco, CA
(37.65568, -122.412482)"
Pacifica,12/31/2005 12:00:00 AM,,,,"Pacifica
(37.613823, -122.48704)"
San Mateo,12/31/2010 12:00:00 AM,2031,1715,4466350967,"San Mateo
(37.547166, -122.314351)"
Belmont,12/31/2015 12:00:00 AM,619,235,876044336,"Belmont, CA
(37.508536, -122.291951)"
San Bruno,12/31/2014 12:00:00 AM,341,350,1215297955,"San Bruno, CA
(37.627277, -122.416148)"
East Palo Alto,12/31/2015 12:00:00 AM,693,165,612792830,"East Palo Alto, CA
(37.464162, -122.139284)"
Menlo Park,12/31/2014 12:00:00 AM,783,706,2447536507,"Menlo Park, CA
(37.453629, -122.18296)"
San Mateo,12/31/2012 12:00:00 AM,1775,1156,3929071776,"San Mateo
(37.547166, -122.314351)"
Redwood City,12/31/2014 12:00:00 AM,1879,1132,3925476508,"Redwood City, CA
(37.484778, -122.22815)"
Atherton,12/31/2015 12:00:00 AM,170,117,434480620,"Atherton, CA
(37.461318, -122.19843)"
Daly City,12/31/2014 12:00:00 AM,2721,890,3086685300,"Daly City, CA
(37.691113, -122.472221)"
Redwood City,12/31/2015 12:00:00 AM,1892,894,3327887699,"Redwood City, CA
(37.484778, -122.22815)"
Millbrae,12/31/2014 12:00:00 AM,1137,242,839359345,"Millbrae, CA
(37.603633, -122.397199)"
Woodside,12/31/2005 12:00:00 AM,,,,"Woodside
(37.431774, -122.255819)"
Daly City,12/31/2015 12:00:00 AM,2643,766,2850695224,"Daly City, CA
(37.691113, -122.472221)"
Colma,12/31/2014 12:00:00 AM,32,23,80312037,"Colma, CA
(37.68073, -122.452872)"
Pacifica,12/31/2013 12:00:00 AM,826,272,958522923,"Pacifica
(37.613823, -122.48704)"
Unincorporated San Mateo County ,12/31/2010 12:00:00 AM,1023,985,2565570593,"Unincorporated San Mateo County
(37.588887, -122.027693)"
Woodside,12/31/2014 12:00:00 AM,129,247,855768453,"Woodside
(37.431774, -122.255819)"
Belmont,12/31/2014 12:00:00 AM,578,290,1007355477,"Belmont, CA
(37.508536, -122.291951)"
Unincorporated San Mateo County ,12/31/2014 12:00:00 AM,1600,712,2467668531,"Unincorporated San Mateo County
(37.588887, -122.027693)"
Pacifica,12/31/2014 12:00:00 AM,833,295,1022830134,"Pacifica
(37.613823, -122.48704)"
Portola Valley,12/31/2014 12:00:00 AM,106,97,335173249,"Portola Valley, CA
(37.375423, -122.219507)"
San Mateo,12/31/2011 12:00:00 AM,1864,1085,4166578433,"San Mateo
(37.547166, -122.314351)"
Brisbane,12/31/2015 12:00:00 AM,126,56,207243178,"Brisbane, CA
(37.682669, -122.400522)"
Unincorporated San Mateo County ,12/31/2012 12:00:00 AM,1469,767,2606797789,"Unincorporated San Mateo County
(37.588887, -122.027693)"
East Palo Alto,12/31/2014 12:00:00 AM,689,173,601320417,"East Palo Alto, CA
(37.464162, -122.139284)"
Pacifica,12/31/2010 12:00:00 AM,205,407,1059152167,"Pacifica
(37.613823, -122.48704)"
Unincorporated San Mateo County ,12/31/2015 12:00:00 AM,1796,583,2169782581,"Unincorporated San Mateo County
(37.588887, -122.027693)"
Half Moon Bay,12/31/2015 12:00:00 AM,277,123,458204821,"Half Moon Bay, CA
(37.463638, -122.429242)"
South San Francisco,12/31/2014 12:00:00 AM,528,633,2194690587,"South San Francisco, CA
(37.65568, -122.412482)"
Pacifica,12/31/2012 12:00:00 AM,816,274,932712338,"Pacifica
(37.613823, -122.48704)"
Unincorporated San Mateo County ,12/31/2005 12:00:00 AM,,,,"Unincorporated San Mateo County
(37.588887, -122.027693)"
Woodside,12/31/2011 12:00:00 AM,123,214,821594391,"Woodside
(37.431774, -122.255819)"
Pacifica,12/31/2011 12:00:00 AM,805,273,1046324363,"Pacifica
(37.613823, -122.48704)"
Portola Valley,12/31/2015 12:00:00 AM,107,74,273545580,"Portola Valley, CA
(37.375423, -122.219507)"
Atherton,12/31/2014 12:00:00 AM,169,154,532365688,"Atherton, CA
(37.461318, -122.19843)"
San Mateo,12/31/2014 12:00:00 AM,1974,1125,3902413385,"San Mateo
(37.547166, -122.314351)"
Menlo Park,12/31/2015 12:00:00 AM,789,529,1967957881,"Menlo Park, CA
(37.453629, -122.18296)"
Burlingame,12/31/2015 12:00:00 AM,852,316,1177612526,"Burlingame, CA
(37.584195, -122.366265)"
San Mateo,12/31/2013 12:00:00 AM,1922,1120,3940268366,"San Mateo
(37.547166, -122.314351)"
San Carlos,12/31/2014 12:00:00 AM,695,315,1091762392,"San Carlos, CA
(37.503733, -122.264927)"
Unincorporated San Mateo County ,12/31/2011 12:00:00 AM,1455,672,2577879631,"Unincorporated San Mateo County
(37.588887, -122.027693)"
Woodside,12/31/2013 12:00:00 AM,127,240,843124512,"Woodside
(37.431774, -122.255819)"
Hillsborough,12/31/2014 12:00:00 AM,270,321,1112146254,"Hillsborough, CA
(37.565155, -122.363487)"
Half Moon Bay,12/31/2014 12:00:00 AM,275,145,503168512,"Half Moon Bay, CA
(37.463638, -122.429242)"
