,ZipCode,Population,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),HouseholdsPerZipCode,Total Zip Code Carbon Footprint (tCO2e/yr)
28640,90013,9727,1.29,160000,8855,34.045071,-118.24142,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,12721.518159584624,2683.2858938768168,22365.731117648877,9.549219803746224,6068,4.375041774419751,4.205857300825717,3.87,2.6016683305019264,2.8295190389523035,17.8820864446997,4601,82275.47973206331
28641,90014,3518,1.23,37500,8633,34.043238,-118.250918,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,12160.21900837873,2456.24558779118,20390.069641768994,0.0,6004,4.342499178552325,3.843588476223485,3.69,2.5659920829173006,2.8071907042182302,17.249270441911342,2587,44623.86263322464
28642,90015,15134,2.96,205600,18533,34.039429,-118.265616,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,9155.646597123117,3977.1169684874108,24141.127722265803,0.0,10034,6.763573292322897,4.84075372167766,8.879999999999999,3.826105821052244,3.754855704856409,28.06528853990921,5339,149840.5755145753
28643,90016,46968,2.85,161500,29079,34.02912,-118.354256,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,13046.626801973662,5987.817321898859,35542.77989297559,0.0,15771,10.760824248051762,7.059675885407266,8.55,4.448534733270933,4.659788023884494,35.47882289061445,17359,615876.8865581763
28644,90017,20689,3.06,231700,14847,34.052987,-118.263686,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,27843.648138328655,3878.054518485287,24190.917060198706,0.46342307406024175,7743,5.181115957113013,4.71175172194275,9.18,3.6219858445494024,3.4405176571498908,26.135371180755055,7079,185012.29258856503
28645,90018,47127,3.04,160600,23797,34.028777,-118.317258,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,16232.24087382065,5601.105285167802,32574.617416502282,0.1871429809515832,14333,9.606166297205663,6.591924439880865,9.120000000000001,4.184994903175275,4.21355170123021,33.71663734149201,16303,549682.3385783442
28646,90019,67510,2.79,245700,31501,34.048385,-118.34085,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,17141.147997347198,5526.735139250885,32033.968656979654,0.1646682413663411,14858,10.305825061003276,6.529369459668631,8.370000000000001,4.593072275858187,4.867846245833883,34.666113042363975,24955,865092.850972193
28647,90020,42383,2.49,905400,24208,34.066295,-118.310212,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,38984.667545399934,3951.9542519636766,23275.44094541718,0.4204138844454105,12047,8.361531312879283,4.813775854309782,7.470000000000001,4.014761243978963,4.220568139717538,28.88063655088557,17512,505757.7072791081
28648,90021,3003,1.7,171900,13053,34.029027,-118.239613,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,1508.7404453974625,2871.1628750828722,22680.805499323054,0.0,8051,5.720592075590282,4.176458561751144,5.1,2.931538538232785,3.201667260218649,21.13025643579286,1507,31843.29644873984
28649,90022,68688,3.99,158900,27471,34.02181,-118.15153,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,15485.008929670446,6109.887997455754,30717.353216705913,0.18308728703779373,16692,10.959528737186194,6.618600317892589,11.97,4.756487184137034,4.580325400841243,38.884941640057065,17776,691218.7225936544
